X,sigma,bins,n_total,n_train,n_test,peak_deg_train,peak_deg_test,theta_star_deg_test,absV_test,R_test,z_like_train,z_like_test,source_file
1000000000,0.03,65536,93602002,56162002,37440000,166.2946,166.3000,144.3286,35683959,0.953097,,,angles_1e9_3e9.csv.gz
1500000000,0.03,65536,93602002,56162002,37440000,166.2946,166.3000,144.3286,35683959,0.953097,,,angles_1e9_3e9.csv.gz
2000000000,0.03,65536,93602002,56162002,37440000,166.2946,166.3000,144.3286,35683959,0.953097,,,angles_1e9_3e9.csv.gz
2500000000,0.03,65536,93602002,56162002,37440000,166.2946,166.3000,144.3286,35683959,0.953097,,,angles_1e9_3e9.csv.gz
3000000000,0.03,65536,93602002,56162002,37440000,166.2946,166.3000,144.3286,35683959,0.953097,,,angles_1e9_3e9.csv.gz
3500000000,0.03,65536,157261930,94357930,62904000,210.5969,210.5969,195.1801,61390545,0.975940,,,angles_3e9_6_5e9.csv.gz
4000000000,0.03,65536,157261930,94357930,62904000,210.5969,210.5969,195.1801,61390545,0.975940,,,angles_3e9_6_5e9.csv.gz
5000000000,0.03,65536,157261930,94357930,62904000,210.5969,210.5969,195.1801,61390545,0.975940,,,angles_3e9_6_5e9.csv.gz
5500000000,0.03,65536,157261930,94357930,62904000,210.5969,210.5969,195.1801,61390545,0.975940,,,angles_3e9_6_5e9.csv.gz
6000000000,0.03,65536,157261930,94357930,62904000,210.5969,210.5969,195.1801,61390545,0.975940,,,angles_3e9_6_5e9.csv.gz
6500000000,0.03,65536,157261930,94357930,62904000,210.5969,210.5969,195.1801,61390545,0.975940,,,angles_3e9_6_5e9.csv.gz
7000000000,0.03,65536,220098287,132060000,88038287,235.2832,235.2832,221.6214,86324371,0.980532,,,angles_5e9_1e10.csv.gz
7500000000,0.03,65536,220098287,132060000,88038287,235.2832,235.2832,221.6214,86324371,0.980532,,,angles_5e9_1e10.csv.gz
8000000000,0.03,65536,220098287,132060000,88038287,235.2832,235.2832,221.6214,86324371,0.980532,,,angles_5e9_1e10.csv.gz
8500000000,0.03,65536,220098287,132060000,88038287,235.2832,235.2832,221.6214,86324371,0.980532,,,angles_5e9_1e10.csv.gz
9000000000,0.03,65536,220098287,132060000,88038287,235.2832,235.2832,221.6214,86324371,0.980532,,,angles_5e9_1e10.csv.gz
9500000000,0.03,65536,220098287,132060000,88038287,235.2832,235.2832,221.6214,86324371,0.980532,,,angles_5e9_1e10.csv.gz
10000000000,0.03,65536,220098287,132060000,88038287,235.2832,235.2832,221.6214,86324371,0.980532,,,angles_5e9_1e10.csv.gz
